,종목코드,종목명,fullCode
284,A004970,신라교역,KR7004970000
285,A004980,성신양회,KR7004980009
286,A004985,성신양회우,KR7004981007
287,A004990,롯데지주,KR7004990008
288,A00499K,롯데지주우,KR700499K014
289,A005010,휴스틸,KR7005010004
290,A005030,부산주공,KR7005030002
291,A005070,코스모신소재,KR7005070008
292,A005090,SGC에너지,KR7005090006
293,A005110,한창,KR7005110002
294,A005160,동국산업,KR7005160007
295,A005180,빙그레,KR7005180005
296,A005250,녹십자홀딩스,KR7005250006
297,A005257,녹십자홀딩스2우,KR7005252002
298,A005290,동진쎄미켐,KR7005290002
299,A005300,롯데칠성,KR7005300009
300,A005305,롯데칠성우,KR7005301007
301,A005320,국동,KR7005320007
302,A005360,모나미,KR7005360003
303,A005380,현대차,KR7005380001
304,A005385,현대차우,KR7005381009
305,A005387,현대차2우B,KR7005382007
306,A005389,현대차3우B,KR7005383005
307,A005390,신성통상,KR7005390000
308,A005420,코스모화학,KR7005420005
309,A005430,한국공항,KR7005430004
310,A005440,현대지에프홀딩스,KR7005440003
311,A005490,POSCO홀딩스,KR7005490008
312,A005500,삼진제약,KR7005500004
313,A005610,SPC삼립,KR7005610001
314,A005670,푸드웰,KR7005670005
315,A005680,삼영전자,KR7005680004
316,A005690,파미셀,KR7005690003
317,A005710,대원산업,KR7005710009
318,A005720,넥센,KR7005720008
319,A005725,넥센우,KR7005721006
320,A005740,크라운해태홀딩스,KR7005740006
321,A005745,크라운해태홀딩스우,KR7005741004
322,A005750,대림B&Co,KR7005750005
323,A005800,신영와코루,KR7005800008
324,A005810,풍산홀딩스,KR7005810007
325,A005820,원림,KR7005820006
326,A005830,DB손해보험,KR7005830005
327,A005850,에스엘,KR7005850003
328,A005860,한일사료,KR7005860002
329,A005870,휴니드,KR7005870001
330,A005880,대한해운,KR7005880000
331,A005900,동양건설산업,KR7005900006
332,A005930,삼성전자,KR7005930003
333,A005935,삼성전자우,KR7005931001
334,A005940,NH투자증권,KR7005940002
335,A005945,NH투자증권우,KR7005941000
336,A005950,이수화학,KR7005950001
337,A005960,동부건설,KR7005960000
338,A005965,동부건설우,KR7005961008
339,A005990,매일홀딩스,KR7005990007
340,A006040,동원산업,KR7006040000
341,A006050,국영지앤엠,KR7006050009
342,A006060,화승인더,KR7006060008
